キャラ名,シナリオ１段落,シナリオ２段落,シナリオ３段落,表情＿左,表情＿右,画面エフェクト,効果音
,カランカラン,,,,,,
フラウ,いらっしゃいませ,,,ハンディ＿ふつう,フラウ＿ふつう,,
フラウ,あ、いらっしゃいハンディ！今日も遊びに来てくれたの？,,,ハンディ＿ふつう,フラウ＿えがお,,
ハンディ,、、きょうはちがう、きょうはお店にかざるお花を見にきた,,,ハンディ＿ふつう,フラウ＿えがお,,
フラウ,そうなんだ、それでハンディはどんな花を飾りたいの？,,,ハンディ＿ふつう,フラウ＿えがお,,
ハンディ,、、ネコっぽいのか、ダルマっぽいの,,,ハンディ＿ふつう,フラウ＿ふつう,,
フラウ,えーと、ねことだるまはないけどパンダならあるかな,,,ハンディ＿ふつう,フラウ＿ふつう,,
ハンディ,ぱんだ！,,,ハンディ＿えがお,フラウ＿ふつう,,
ハンディ,、、じゃあパンダのおはなください,,,ハンディ＿えがお,フラウ＿ふつう,,
フラウ,そうだね、じゃあいつもお世話になってるから,このお花はサービスであげちゃう,,ハンディ＿えがお,フラウ＿えがお,,
ハンディ,フラウありがとう、ぱんだ、ぱんだ、ふふ,,,ハンディ＿えがお,フラウ＿えがお,,
フラウ,（すごく気に入ってくれたみたいでよかった）,,,ハンディ＿えがお,フラウ＿えがお,,
